word,translation
Abbau,消失，消除；裁减，减少，削减
abbauen,拆卸；减少；开采；分解；体力衰退；退化
abbrechen,折断；终止；拆除；折断；停止
abenteuerlich,冒险的，离奇的
Abenteuerlust,冒险精神
Abfahrt,出发，启程，启航
abgeben,发表，公布；交出，交给；放弃
abgeschlossen,自成一体的独立的
abgesehen,除……之外；预见，看出
abgrenzen,定界，标界，划定界线；划清界限
Abhängigkeit,从属，依赖
ablaufen,进行，进展；流走，流去；结束，过期
ablegen,放下，脱下；放弃，抛弃；参加，进行
ableiten,引出，导出，引开；得出，推导，推演；出自，源于
abriegeln,门上，门住，（严密）封锁—地区
Absage,拒绝；回绝
abschreiben,抄袭，剽窃；抄写，着写；扣除；折旧；写坏；书面谢绝
abschwächen,削弱，使减轻，使平衡
absolvieren,毕业于，结业，学完；完成；通过
Absperrung,障碍物；封锁
Absprache,约定，商定
Abstammung,起源；出身
Abstand,距离，间隔，间差；间距，距离
abstrakt,抽象的，不具体的，概念化的
Abteil,分隔出的格子；车厢内的全部乘客；车厢隔间
abwägen,考虑，权衡，思量；称重；审查
abweichen,偏离，背离，离开；背离，（意见）不一致
Acht,八
aggressiv,侵略的，攻击的；好斗的，好动火的；进攻性的
ähneln,相像，相似，酷似
Akademie,学会，协会；学院，高等专科学校；科学院，研究院
akustisch,声学的；有声的，有音响效果的
akut,急性的；急迫的，紧张的
alkoholfrei,不含酒精的
Allesfresser,杂食动物
Alltagssprache,日常用语
allzu,太，过分
Alzheimer,阿尔茨海默氏症
Amt,部，局，处；差事；职位
amtlich,官方的，因公的，公务上的；正式的
Amtsinhaber,在职者，现任者
Amtssprache,官方语言；正式语言
Analogie,类似，相应性
analytisch,分析的；解析的
Anbau,接连的房屋；接连；种植
anbringen,安装，固定，装上；表明，叙述；卖，销售，出售；提出（建议等）；安置，安顿
andernfalls,要不然。否则。
andeuten,勾画，勾勒；暗示，预示；大概说明，粗略叙述；显露，显示出，显现
anerkannt,得到承认的，公认的，有声望的
anerkennen,承认，认可；赞许，重视，赞赏
anerkennend,有鉴赏力的。认出的。识别的。
Anfang,起源；开始，开端
anfügen,附上，添加，增补
anfühlen,触摸，（试探性地）摸；手感，摸上去有某种感觉
angehen,攻击，进攻，袭击；涉及，牵涉，与……有关；恳求，请求，恳请；开动，开始，过得去，还可以
Angel,钓竿，挖；铰链
angelehnt,半掩
angemessen,适当的，适宜的，适度的，恰当的，得体的
angesichts,面对，鉴于，考虑到
angestellt,有工作的，受长期聘用
angewiesen,依靠，依赖
Angewohnheit,习惯
Angriff,开始做某事；抨击；进攻，袭击
ängstigen,使害怕，使恐惧，使愤怒；感到害怕；忧虑，担心
ankaufen,买下，买进（贵重物品等）；购置房地产而定居
anknüpfen,连接，联系上；建立联系、关系；接上，接续，衔接上
ankündigen,预告，预示；通告，宣告；告知；预示
Anlage,设备；装置
Anlass,机会，时机；原由，缘故
anlässlich,值此……之际，为了
anlegen,（飞行器）对接
anmelden,通报，宣布，通知；登记，替……挂号；通知，报到，通报，宣布，通知
annehmen,接受，收下；采纳，同意；假设，假定；通过，批准；照顾，照料
Anonymität,匿名，无名
anormal,异常的，不合常规的，反常的
anpassen,使适应，使适合；试穿；适应，适合，与……相处融洽
Anprobe,试穿；试衣间
Anrufer,打电话的人
anschließen,连结，接通；锁住，锁闭；紧贴，紧挨着，贴着，毗连
Anschluss,接通电话；接线；联系，加入；紧接着；连接，接通；转乘的车次
Anschreiben,写在，写上，记上；写信给，向……写信
Anschrift,通信地址
Ansehen,不管是谁；名望，声望；审视；把某人/某事看作…；从某人的表情看出；看，注视
ansiedeln,使移民，使定居，定居于；定居，安居
ansprechen,打招呼，与……攀谈；使满意，使感兴趣；谈起，提及；请求；对……起作用，对……感到满意
anspruchsvoll,苛求的，挑剔的，贪得无厌的
anstehen,排队等候，站队；忧郁，迟疑；有待处理
anstellen,雇用，聘用；指派，任用；放到边上，把靠上去；做，干，从事；打开，开动；排队等候；处理事情；装出……样子
Antike,古希腊、罗马时期
antreten,开始做，开始从事；上任，接任；启动，发动；列队，排队，集合
Arbeitsbedingungen,工作条件；操作条件
Arbeitserlaubnis,工作许可
arbeitsfrei,休息的
Arbeitsgebiet,工作范围，工作领域
Arbeitsklima,工作环境，工作氛围
Arbeitslohn,工资
Arbeitslose,失业者
Arbeitsmarkt,劳动力市场
Arbeitsweise,工作方式；工作方法
arg,恶劣的，坏的，恶的；严重的，可怕的；令人不愉快的；非常，极其
Ärger,生气，愤怒；不愉快，烦恼；不满
ärgern,生气，愤怒，恼火；使愤怒，使生气，使恼火，激怒
arrogant,傲慢的，自负的，狂妄自大的
Art,种类，品种；方式，样子；特性，本性
Artgenosse,同胞，同伴，同类
Arztpraxis,医疗诊所
Astronom,天文学家，天文学者
Astronomin,女天文学家
Atmosphäre,大气压；氛围，气氛；大气层
Atmung,呼吸
Atombombe,原子弹
Atomenergie,原子能，核能
Atomkraftwerk,核电站，原子能发电站
Atommeller,原子反应堆
attackieren,骑马进攻；攻击；抨击
atypisch,非典型的；不典型的
Aufbau,结构；建设；上部建造物；建，搭
aufbereiten,净化，制备；利用，整理；选
aufdrücken,拆开，推开，压开；加盖，印上
aufeinander,彼此，相互，面对面地，一个又一个地
auffällig,引人注目的，触目的，与众不同的
Auffassung,见解，看法
auffordern,要求，敦促，请求；请，邀请
Aufgabengebiet,责任区
Aufgabenteilung,分工
aufgeben,投客，寄出，交出；布置（作业）；刊出，刊登；放弃，舍弃，停止；中途退出，退出比赛，弃权
aufgehen,升起，升高，出现；发芽，长芽；散开，打开；除尽
aufgeregt,激动的，不安的
aufhalten,保持开着，撑开；阻止，阻挡，制止；拖住，耽搁；停留，逗留
aufheben,保存，保留；正式结束；废除，取消；抵消；举起
Aufklärung,查明，弄清；解释，说明；启蒙
aufkommen,承担费用
auffegen,陈列，摆放
auflisten,列出，列表，使列成清单
auflösen,使溶解，使溶化；解开，解决；解除，废除，解散；溶化，溶解；解决；解散
aufregen,使激动，使紧张，使不安；激动不已
Aufregung,激动，兴奋
aufreiben,擦伤，擦破，磨破；消耗，使耗尽
aufreißen,绘图，绘制，勾画；撕裂，撕破，撕开
Aufruf,点名，传唤；号召，呼吁
aufrufen,号召，呼吁；叫，点名，传唤
aufschwingen,飞腾起来
Aufsehen,仰视；敬佩
aufsehenerregend,引起轰动的，耸人听闻的
Auftakt,序幕；上拍
auftanken,加油，给加燃料
Aufteilung,分配，分成；瓜分，分割
Auftreten,态度，举止出现；登台，登场；出现；踏地；登台亮相；表现
aufwärmen,重新加热；重新讲述，旧话重提
Aufzählung,列举
Ausarbeitung,拟稿，起草；体力劳动锻炼
Ausbau,拆除；扩建；扩大
ausbauen,扩建，改建，扩大；取出，拆除，拆卸
ausbremsen,慢下来
Ausdauer,坚韧，耐力，恒心
auseinanderreißen,撕开
ausfallen,脱落，掉落；取消，停止，终止；退出，不参加
ausführen,出口，输出；实行，执行；做，干；带领……外出；详细说明，解释
ausfüllen,填充，填满；填写；占满，占据；当，完成
Ausgang,出口，结果，结局；结尾
Ausgangspunkt,出发点
ausgehen,外出，出去；用完，用光，耗尽；出自，出于；结束，完结；（头发）脱落，掉下；（灯、火等）熄灭
ausgeliefert,交付
ausgerechnet,偏偏，正好，恰好
ausgesprochen,特别的，明显的，道地的；特别，极其
ausgewogen,平衡的
ausgezeichnet,优异的，优秀的，杰出的
Ausgrenzung,排除
aushalten,忍耐，忍受住，坚持下去；养活，供养，赡养；坚持，持续
auskommen,与...和睦相处；应付
Auskunft,问讯处；答复，情况
Auslandsaufenthalt,居留国外
Auslandserfahrung,海外经历，国外经历
Auslandssemester,国外学期
ausleihen,借出，借给
auslöschen,熄灭，扑灭；擦去，抹去，拭去；清除，消灭，毁灭
auslösen,开动，振动，扣动；引起，招致，激发；赎回
ausmachen,关闭，关掉，熄灭；共计，合计；商定，约定；有关系
ausprobieren,试验，试用，检验
ausrauben,抢光，抢劫，洗劫一空
ausräumen,腾空，倒空，出清；清除，清除，解除
ausreichen,够，足够，够用；能满足
ausreichend,充分的，足够的，够用的；及格的
Ausreise,出国，出境
ausreisen,出国旅行，越过边界，出境
ausrichten,传达，转达；布置，筹备，安排；举办，组办；调整，整顿；排查，对准；达到，取得
aussagekräftig,表现为强的，具有说服力的
ausschlafen,睡够，睡足；以睡眠消除
Außenseiter,比赛中获胜几率很小的队或队员；与他人格格不入的人
äußere,外表，容貌
außergewöhnlich,不寻常的，异常的，非同寻常的
äußerst,非常，极其，最；最远的，极端的，极度的
Aussicht,希望，前景；眺望，景致
Aussteller,出票人；参展商
aussterben,绝种，灭亡，灭绝；消失；淘汰
ausstrecken,伸展，伸出；伸直四肢
Austausch,换人；更换；交换，交流
austeilen,分发，分配；给以；发布；发牌
ausüben,执行，实行，实施；从事；施加
ausverkauft,售完的，卖光的
auswandern,移居国外
Ausweg,出路，办法
Ausweis,证件，证明
auswendig,凭记忆地，熟记地；外面的，外表的
auswerten,评价，评定；利用
Auswirkung,效果，影响
auszahlen,付给，付清，支付
auszeichnen,标明...的价格；表扬，嘉奖，奖励；标价；表现出众，显得突出
Auszeit,暂停
Automobilhersteller,汽车制造商
Autor,作者，作家
Autorin,作者
avancieren,晋升，提升；进攻
Bachelor,（英、美等国的）学士；学士学位；
Bahn,跑道；滑冰道；赛车道；轨道；弹道；幅面；铁路，火车；有轨电车
Bakterie,细菌
Balance,[法语]平衡
Bammel,害怕，心慌
Bande,围栏；边界；台球桌的边；关系，联系，纽带
bang,可怕
Bank,银行;长椅
Banklehre,银行培训
bankrott,破产
Banktresor,银行保险库
basieren,以为......依据或基础
Basis,基地；柱基，基座；底数，基数；底面，底线；基本词，词根；基础
Bauarbeiter,建筑工人
Bauch,物体的中空凸出部分，腹；胃，肚子
bauen,建造；制造，制作；造成（错误）；导致......发生；造房子；信赖，信任
Baumwolle,棉，棉花；棉布
Bauwerk,建筑物，建筑工程
Bauzeichner,起草者
Beachtung,注意，重视
beantragen,申请；提议，提出；（法律上的）要求，建议
Becher,杯，酒杯
Bedarf,需求，需要
bedecken,遮盖，覆盖，盖住，遮住
bedenken,怀疑，疑虑，顾虑，思考，考虑
bedeutend,重大的，显著的；重要的；著名的，知名的；有价值的；显著地，相当地
bedroht,威胁
Bedürfnis,需求，需要
bedürftig,贫穷的，贫困的；需要的
beerdigen,埋葬，安葬
befassen,从事于，进行；对……感兴趣
Befehl,命令，指令；指挥权
befehlen,命令，吩咐；指挥
Befinden,处于，在
befürworten,提倡，拥护，支持
Begabung,天赋，天资，才能
begeben,前往，走向，去；（医生）检查；着手进行，开始做
begegnen,遇见，碰见，遇上，碰上，碰到；遭遇，遇到；对付，应付
Begleiter,伴奏者；陪同者，护送者
Begleiterin,同伴
begreifen,理解，领会，明白，懂得；看作，认为
begründen,创造，创立，建立，创办，奠定；把…建筑在…基础之上
behaupten,断言，声称，宣称；坚持，保持，维护，固守，坚守；坚持，保持，维持，稳固
beherrschen,统治，支配，控制；克制；掌握，精通；俯视，俯瞰；自制，克制
Behinderung,阻碍，妨碍，打扰；残疾
beibringen,传授，教授，教会，指点；提出，提供；使遭受，使受到
Bein,（人或动物的）腿；（家具或器具的）脚；裤脚，裤腿
Beitrag,文章，稿件；贡献
beitragen,有贡献，为……作出贡献；有助于，有裨益
beitreten,参加，加入；赞成，同意
Bekanntmachung,公告，布告，通知；公布，颁布
Bekanntschaft,熟人；f -，-en i.i.i.识，结识，熟悉
Bekleidung,衣服，服装
beladen,在……上装载，把……装到……上去
Belastung,负债；负担，责任；罪责，罪证；负荷，负载
Beleg,例证；收据，单据，凭证；证明
beleuchten,照亮，照明，照耀，照射，使用亮；阐明，说明
bemerkenswert,值得注意的，相当可观的；显著的，出色的
bemühen,尽力，尽心，努力；关心，照顾，照料
benachrichtigen,通知，告知
benachteiligt,劣势
benehmen,举止，行为，态度
benennen,叫出……名字；给……取名，给……命名，为……命名
Benutzerkonto,帐户
Benzimmotor,汽油发动机
Bequemlichkeit,懒散；舒适的设备；舒适，安逸
Berater,顾问
Beraterin,顾问
bereiten,准备好，预备好，做好；给予，带来；引起，造成
Bereitschaft,待命，值勤；愿意，情愿，决心；后备队；准备
bereuen,后悔，悔恨，悔恨
berücksichtigen,考虑，注意，顾及；照顾；准许；重视，尊重
Berufsanfänger,参赛者
Berufsausbildung,职业培训；职业训练
Berufserfahrung,工作经验，职业经验，职业经历
Berufsschule,职业学校
beruhigend,镇静的，安定的，平静的
berühren,触动，触摸，碰到，接触；提及，涉及，论及；感动；有关联
besagen,表明，说明，意味着
Besatzungszone,占领区
beschädigen,损害，损坏，损伤
beschäftigen,雇用，给……以工作；使忙碌；使思考，使研究；从事，忙于；研究，用心于
Beschäftigte,职工；雇员
Bescheid,告知，通知；答复，决定
beschränken,限制，约束；压缩，紧缩；限制，局限于
beschriften,将……写上字，将……写上地址；标签子；给……题词；铭刻
Beschwerdebrief,投诉信
beschweren,诉苦，抱怨，申诉，提意见；重压，加重于；使沉重，使加重负担，使烦恼
beseelt,有生命的，有生命的，有活力的，富有情感的
besehen,观察，观看，细看
besetzen,占用，占领，占据；缝，缝上，镶上；在驻军；担任；分配，派给
Besitzerin,老板娘
Besitzer,所有者，物主，业主
besorgt,担心的，担忧的；关心的，关怀的，操心的
Besprechung,讨论，商谈，碰头会，会议
Bestandteil,组成部分，成分
bestechend,动人的，迷人的，无法抵挡的
bestehen,坚持，通过，经受得住；存在；由……组成；坚持；在于，以……为内容
besteigen,登上；骑上；乘上
Bestellformular,订单
Bestellung,预订，订购；订购的货
Bestellvorgang,订购
bestimmen,规定，命令，指定；选定，派定，任命；决定，确定，断定；预定目标；劝说，影响，促使
bestmöglich,尽可能好的
Bestseller,[英语]畅销书
Beteiligung,参与；入股
betonen,强调，着重；重读
Betonung,强调，突出；重音
Betracht,(仅用于短语) 考虑，注意，顾及
Betrachterin,观察
Betrachter,观察员，观察者；观看者
betreffen,涉及，有关，关系到；使遭受，使遭到；遇见，碰见
Betrefizelle,主题行
betreiben,推动，促进；开动，使运行；从事，进行
Betreiber,运输船；运输者
betreten,踏入，踏上，踩上；走入，走进，进入，踏进；踩踏；着追的，难为情的，狼狈的
betreuen,招待；看护，照料，照管，护理；管理
Betreuung,照料；照管；护理；关怀
Betriebswirtschaft,企业管理经济学
betroffen,遇到不幸的；吃惊的
Betroffene,被涉及的人，相关人员
Bettzeug,床上用品
Bevölkerungswachstum,人口增长
bewachen,看守，监视；守卫，保护
Bewachung,看守，监视；警卫，哨兵
bewältigen,克服，战胜，解决，完成
Bewegungsstörung,运动障碍
Bewerber,申请者，求职者，报考者
Bewerbungsbrief,求职信
Bewerbungsschreiben,申请信；求职信
Bewertung,鉴定，评价，评分；评定书
bewirken,引起，招致，导致；促成，造成
Bewunderer,赞叹者，钦佩者；欣赏者
bewusst,知道的，已知的，已提到的；意识到的，有意识的，自觉的；有意的，故意的
Bezug,薪水，收入，工资
Bibliothekarin,图书管理员
Bibliothekar,图书馆管理员
bilingual,双语的，两种语言的
Billiglohnland,低工资国家
bisherig,以往的，过去的，到目前为止的
blamieren,使丢脸，使出丑，使出洋相，使难堪；丢脸，出丑
Blei,铅
bleiben,逗留，停留；持续，保持，坚持，仍然；剩余，余下；死亡
blitzen,闪光，闪电，照射
Blog,博客
Blogger,博客
Blutdruck,血压
Bluthochdruck,高血压
Blutwert,血值
Blutzucker,血糖
Bombe,炸弹
Branche,行业，部门；专业，门类
Branchenverband,｛行业协会
breit,宽的，阔的，宽阔的；平的，平坦的；广大的，广泛的
brillieren,与众不同，显得突出
bringen,带来，拿来，送来，送交，携带；陪同，伴送；押送，运送；引起，造成，导致，致使，使处于；给予，提供；产生；不能决定；使失去；登载，发表，公布
Browser,浏览器
Brustkorb,胸腔，胸廓，胸部
Buchbesprechung,｛书评
Buchdruck,印刷术；书籍印刷
Buchseite,｛书页
Budget,预算；预算案
bündeln,把…捆绑起来，捆，把…捆扎起来
Bundeskanzler,联邦委员会主席；联邦总理
Bundesminister,联邦政府部长
Bundespolizei,联邦警察
Bundestag,联邦议院
Bundestagsfraktion,议会小组
Bundestagswahl,联邦选举
Bundesverband,联邦协会
bundesweit,联邦的，联合的，联盟的，全国的
bürgerlich,公民的；市民的；资产阶级的；狭隘的，小市民的
Camp,野营；战俘营；宿营地
Catering,餐饮
Cello,Celli 大提琴
Chancengleichheit,机会均等
Charakter,性格，品质，个性；品质
charakteristisch,独特的，特有的，典型的
checken,检查；掌握，理解
Checkliste,飞机乘客名单；需要检验的全部零部件清单
Chip,集成电路板，芯片；筹码；油煎土豆片
Chronik,编年史
chronisch,慢性病的
Coach,教练
Comic,连环画
Dach,屋顶，房顶
daherkommen,出现，显现
Damm,路基；堤，坝，水堤，水坝
daraufhin,在这点上，就这方面；因此，于是
Date,日期
Datenschutz,对个人档案材料的法律保护
Datensicherheit,数据安全
Dauer,(较长) 时间，期间
dauerhaft,持久的，经久的；耐用的，牢固的
Daumen,大拇指
Defekt,有毛病的，有故障的；毛病，缺陷，故障
Defizit,缺少；赤字，亏空
dekorieren,装饰，装填；授予，给予
Demenz,痴呆
Denkpause,休息；为考虑问题在会议中间插入的休息
Denksportaufgabe,谜题
depressiv,沮丧的，消沉的，悲哀的
deprimierend,沉闷
dermaßen,如此，这样
derzeit,当时，那时；目前，现在
Design,[英语]图样，图案，造形
Desinteresse,没兴趣，漠不关心，冷淡
destruktiv,破坏的，破坏性的；消极的，非建设性的
Detektiv,侦探，密探
deuten,指向，指出
Diagnose,诊断
diagnostizieren,诊断，确诊
Diagramm,图表，示意图；图解
Dialekt,方言
Diamant,金刚石，钻石
Dichterin,女作家;女诗人
Dichter,诗人，作家
Diebstahl,偷窃
Dienstleistung,第三产业，服务性工作；工作；效劳，帮助
Digitalisierung,数字化
Dilemma,[希腊语]进退维谷
Diplom,奖状；通过职业考试的证书；文凭，毕业证书，学位证书
Diskriminierung,歧视，鄙视，贬低。
disqualifizieren,取消资格，认为不合格；觉得不合适或不够格
distanzieren,对……持不赞成态度；疏远
Disziplin,纪律，风纪，自律
Dokument,文件；公文，文献；证件
donnern,雷鸣，大声说，猛扔
doof,愚蠢的，蠢笨的，拙笨的；枯燥无味的，无聊的；令人讨厌的
dösen,打瞌睡，打盹；走神，遥想，开小差
dramatisch,剧本的，戏剧的，戏剧艺术的；扣人心弦的，博览起伏的
dran,见
drauf,见
draufhauen,上一巴掌
drauflos,朝前，往前，向前
dreckig,睡醒的，肮脏的；下流的，卑鄙的
Drehbuchautor,电影剧本作家
drehen,旋转，转动；摇，卷，捻，绞，卷绕；车削；拍摄（电影）；拍摄（电影）；转向，转变成向；转动；旋转，转动；转向；涉及到，关于
Dringlichkeit,急迫性，迫切性
Druck,印花布；印刷品，出版物；印刷，印刷
durcharbeiten,仔细钻研，细心研究；持续地工作，不停地工作；钻研；挤过，穿过
durchaus,彻底地，完全地，绝对地；一定，无论如何
Durchbruch,裂口，决口；冒出，长出；突破，冲破
durchführbar,可行的，可实施的，可完成的
Durchführung,实行，实施，贯彻执行
durchhalten,坚持到底，干到底，做到底
Durchmesser,直径
Durchschnitt,剖面，断面；平均值，平均数；平均；一般水平
durchsetzen,安排，安排；换条，夹条；得以贯彻；达到目的，获得成功，得到承认，被接受；贯彻，实施，实现
durchsichtig,透光的，透明的；显而易见的，明显的
Durchwahl,直接
Effekt,效果，影响，作用
Ehrentag,纪念日，庆祝日
Eidechse,壁虎；蜥蜴
Eifer,激动，兴奋
Eifersucht,嫉妒，妒忌；吃醋
eifersüchtig,嫉妒的，妒忌的
Eigeninitiative,主动
eigensinnig,任性的，顽固的，固执己见的
eigenständig,独立的
eilig,急迫的，紧急的；匆忙的，仓促的
einatmen,吸入，吸气
einbringen,带来，产生；提出，提交；存入，储入，收进
Einbruch,入室盗窃，侵入，倒塌
eindeutig,单义的，明确的，一清二楚的；单值的
Eindruck,痕迹，印迹；印象；体会
Einfluss,影响
einfrieren,冻结；冷藏；冻结，结冰
Einfuhr,进口的东西，进口货；进口，输入
einführen,引导，介绍，指导；输入，进口；实施，采用；导入，插入
eingeben,给，进入，放入，读入，饲养，喂养，滋养，输入，注入（药）
eingehen,接受，承担，同意；签订，订立，建立；仔细研究，认真探讨；到达；接受，同意；结束，死亡
eingestehen,承认，供认，交代
eingrenzen,标出……的界线，界定；使受局限，限定
einheitlich,同样的，相同的，一律的；统一的，一致的
einholen,补上，弥补；追上，赶上；迎接；征求，取得；收起，收回
einig,统一的，团结的；意见一致的，一致同意的
einlassen,允许入内，使进入；放入，使流入；参与，开始参加，答应参加；
einleben,熟悉，习惯
einlenken,使转入；转弯；让步，退让，表示和解
einleuchtend,貌似有理的，可能的，合理的
Einnahme,攻克，占领；服用；吃；收入
einpflanzen,种，栽，插植
einplanen,把……计划在内，把……纳入计划
einprägen,叮嘱，铭记，牢记；铭记
einräumen,安放；布置；承认；把…让给
Einreise,入境关口；入境
einrichten,布置，安排；整理，调整；建立，开办，创立；处理，处置；布置，安排
Einrichtung,建立，设立，创办；复位；装饰，陈设；设备；布置，装饰；设施，机构；定期进行的活动，制度化的事情
Einsatz,附件，赠注，押金，使用
Einsatzmöglichkeit,可能的用途
Einschränkung,限制，限定，保留
einsehen,认出，看清，看到
einsprachig,只用一种语言撰写的，单语的；只讲一种语言的
einstecken,放进，放入，投入，插入；捞取，赚取；忍受，经受
einstellen,招收，聘用，雇佣；校准，调准，调节；中断，停止；放入，放置；针对，准备
einstürzen,拆毁，拆除；坍塌，倒塌，陷落
eintauchen,浸入，浸没；潜入，沉入
einteilen,划分，细分，分成；分配，分派，支配
Eintragung,记入，登记，注册
eintreten,踏进，踩入；踢坏，踹开；参加，加入；进入，走入；发生，出现；开始，来临；为……辩护，主张
einverstanden,赞同的，同意的
Einwanderer,移民
einwandfrei,无可指责的，无可非议的，无异议的
einwerfen,投入，投进；打破，扔破，掷破；插话 发界外球
Einzelfall,个别情况，特殊情况
Elektrizität,一电，电力
Elite,精华，精美，尖子
Emotion,感情，情感，情绪；激动，冲动
Empathie,感情移入，移情
empfinden,感觉，直觉
Empfindung,感受，感情；感觉，知觉
Empörung,反抗，造反，起义；愤怒，愤慨，气愤
endgültig,最后的，最终的
energiesparend,节能的
enorm,巨大的，大量的，极大的；很，非常
Entdecker,发现者
entfalten,开展，施展；展开，舒展，铺开；展开，开放，张开
Entfernung,撤职；除去；移动；切除；离去，离开；距离
entfliehen,逃走，逃跑，逃掉
entführen,诱骗，拐骗；夺走，带走；劫持，绑架
entgegenbringen,迎面而来，迎面送去；表示
entgegensehen,迎面看某人；期待，盼望
entlassen,解除，解除，免职；解除；释放
entlaufen,逃跑，逃走
entscheidend,决定性的，关键的
Entscheidung,决定，判决，裁决
entspannt,放松的，缓和的，冷静下来的；松动的
entsprechend,相应的，相关的，根据
entstammen,出身于，来自于
entstehen,产生，形成，出现，存在；引起，造成
Entstehung,发生，产生；形成，出现，存在
entwickeln,发展，增长，提高；开发，研制；阐明，解释；显影，冲洗；生长，发育；产生，发生，形成
Epidemie,流行病，时疫，瘟疫，传染病
erachten,认为，看作，当作
Erachten,认为，看作，当作
erben,继承，承袭，承受
ereignen,发生，出现
Erfahrung,经验；经历，体会
erfassen,领会，理解；抓住，握住；登记，考虑
Erfinder,发明者，创造者
erfolgen,产生，发生，举行
erfolglos,无结果的，无成效的，无成就的
erfüllen,满足
ergeben,产生，得出，引出；投降，认输；沉迷于，醉心于；产生，提供，带来；忠诚的，顺从的
ergehen,发出，散心，散步，健康状况
ergreifen,利用，采用；抓住，握住；捉住，逮住；打动，触动，感动
erhalten,保持，维护，保护，保存；接到，收到，得到，获得
erhoffen,期待，期望，希望；期待，期望，希望
erhöhen,提高，增加，增多，加高；提高，增多，增加，增长
erkennbar,可以看得出来的，可辨认的；明显的
Erkenntnis,认识，知识
Erledigung,完成
ermöglichen,使可能，使能够
Ermunterung,鼓励
ernennen,任命，委任，委派
erneut,重新的，又一次的，恢复的
Ernte,收成，收获；收到
eröffnen,开，打开，开始；设立，开办，开设；开幕，揭开；招募，吐露
erpressen,勒索，敲诈，强求
Erpressung,敲诈，勒索，强夺，榨取
erregen,使兴奋，使激动，使愤怒；激发，引起；对……感到愤怒、激动
erreichbar,能伸手碰到的，够得着的；能到达的，能抵达的；能达到的，能实现的；能联系上的
errichten,设立，建立；建造，建起
Ersatz,预备部队；补偿；代替；替代物，代用品；代替者，顶替者
erschreckend,惊骇的，可怕的，令人惊惧的，恐怖的，非常可怕，极其吓人的
ersetzen,替换，更替，替代；赔偿，补偿，弥补
erstarren,冻结，凝固；变僵硬，发僵
erstatten,归还，偿还；做，给予
erstaunlich,使人惊奇的，令人惊异的，使人惊讶的
erstrebenswert,值得做的，值得向往的，值得拥有的
ertragen,忍受，忍耐
erträglich,可以忍受的；还可以的，过得去的，凑合的
erwähnen,提及，论及，谈到，谈及
Erwartung,希望，期望；预料
erwecken,唤醒，叫醒；引起，激发
erweitern,扩大，扩展，扩张；扩建，拓宽
erwerben,获得，取得；购买，购置；学会，掌握
Erwerbstätigkeit,雇用
erwischen,捉住，抓住，逮住；正赶上，正碰上，碰到
erzeugen,制造，生产；引起，招致，导致
Erzeugung,制造，生产
erzwingen,迫使，逼迫，强求而得
Essayist,散文家
Event,活动，重大活动
Eventmanagement,事件管理
Eventmanager,事件管理器
Evolution,进化，演变，发展
Examen,考试
existieren,存在；生存，生活
Expedition,考察旅行